,Plant Code,Stack Height (m),Annual Plant Generation (MWh),Annual Plant SO2 Emissions (M.Tonnes),Annual Plant NOx Emissions (M.Tonnes),Marginal SO2 Emissions (M.Tonnes per MWh),Marginal NOx Emissions (M.Tonnes per MWh),Marginal Emissions Damages SO2; Annual ($ per M.Tonne),Marginal Emissions Damages NOx; Annual ($ per M.Tonne),Marginal Emissions Damages SO2; Spring ($ per M.Tonne),Marginal Emissions Damages NOx; Spring ($ per M.Tonne),Marginal Emissions Damages SO2; Summer ($ per M.Tonne),Marginal Emissions Damages NOx; Summer ($ per M.Tonne),Marginal Emissions Damages SO2; Fall ($ per M.Tonne),Marginal Emissions Damages NOx; Fall ($ per M.Tonne),Marginal Emissions Damages SO2; Winter ($ per M.Tonne),Marginal Emissions Damages NOx; Winter ($ per M.Tonne),Marginal Health Cost; Annual ($ per MWh),Marginal Health Cost; Spring ($ per MWh),Marginal Health Cost; Summer ($ per MWh),Marginal Health Cost; Fall ($ per MWh),Marginal Health Cost; Winter ($ per MWh)
0,1,,3780.0,3.8048650000000004,41.98503,0.0010065780423280425,0.011107150793650794,,,,,,,,,,,,,,,
1,3,110.0,12470807.0,3169.667504,2141.494118,0.0002541669920799833,0.00017172057253391862,25381.254605519996,3434.062518852,29054.30482632,3344.044860936,24829.10573136,1018.9993884840001,15547.181241839999,1227.590537568,31186.1597712,7973.469706907999,7.040776320155776,7.958886562779734,6.48572227817783,4.162382841509209,9.29570120672378
2,7,91.0,169977.0,2.681999,123.703916,1.5778599457573672e-05,0.0007277685569224072,27514.40169636,5805.6618289200005,32205.5716074,5558.619389016,28219.67619756,1615.958020932,16251.993907439999,2436.629928756,32838.92081184,13375.67372568,4.659316854894262,4.553547225920459,1.6213104044845956,2.029736349257125,10.252546943312096
3,9,,39534.0,0.1814,77.84781,4.588455506652502e-06,0.001969135680679921,10571.386558524,1227.035442084,5828.417260847999,370.4751665292,7678.568399579999,235.8382712976,7713.958590576,426.77167491719996,20760.653216280003,3802.3325250239996,2.464705607333877,0.7562593024940899,0.49963032433823623,0.8757664883560083,7.5825679784064794
4,10,152.0,1767889.004,6.55761,1426.11238,3.7092883009978837e-06,0.0008066752928341649,25603.5182646,3749.1493192199996,32645.401440240003,3159.305097312,25044.837360119996,844.6439712276,14558.70822852,1179.1333759476001,29338.49817516,9652.175551344,3.1193169557240696,2.6696245701702885,0.774251945050924,1.0051802074427587,7.894996487417157
5,26,229.0,5688930.0,1042.189257,3140.76867,0.00018319600645464086,0.0005520842531020772,25187.259444,3928.955875488,32667.18923796,4076.936111652,24244.614352560002,1278.3518980200001,15207.22642812,1290.7789245119998,28203.39724164,8956.563313044,6.783320013667549,8.235310838638576,5.1472744802418555,3.4985218693421665,10.111527310165645
6,30,,,,,,,33772.76795376,15641.277460199999,26366.896928759998,4917.4893111480005,28056.60900516,3019.670373912,31963.54528428,12896.760891839998,48431.58785616,41383.09646928,,,,,
7,47,172.0,1670.0,3.3305040000000004,10.115771,0.00199431377245509,0.006057347904191617,28402.74238488,5447.377496952,32251.33871148,4153.230512604,31186.492087439998,1671.018367944,16388.66145852,2262.2947958279997,33257.88480372,13495.32604776,89.64064097816288,89.47685111356508,72.31759029347457,46.38763989900269,148.07254265856523
8,51,160.0,1165830.0,4629.374257,1180.4559649999999,0.003970882767641938,0.0010125455383718036,24267.550769519996,3677.390257824,26099.41524492,2715.7519746479998,23032.98236832,952.5938384592,15535.402309439998,1264.098123888,31678.085432399996,9619.849403592,100.08712426197444,106.38754078683837,92.42581741477483,62.96921823434702,135.530499148822
9,54,198.0,355649.995,1.220822,71.85072600000001,3.432650125582035e-06,0.00020202650642522858,33868.253642879994,8144.843912171999,35892.059930280004,6550.123199712,46488.6797832,3049.368346356,20550.848910359997,4799.915722164,32214.225828239996,17983.180152959998,1.7617322260753765,1.4465033907197289,0.7756326063139235,1.0402540785772856,3.7436592270528526
